Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,What_it_does,Year_Founded,Founders,Investor
Nexprt,Consulting,Unknown,2021,2000000.0,New Delhi,Nexprt Solutions offers end-to-end and 100% customized import solutions.,2020,Harsha Vardhan K,Titan Capital
Wysa,AI startup,Unknown,2021,0.0,Bangalore,Wysa is an AI conversational agent that has been shown to help improve mental health,2015,"Jo Aggarwal, Ramakant Vempati","Kae Capital, Pi Ventures"
Ankur capital,FinTech,Unknown,2021,40000000.0,Mumbai,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,2011,Ritu Verma,
Indifi,FinTech,Debt,2021,5000000.0,Gurugram,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,2015,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India"
Firmway,FinTech,Pre-seed,2021,0.0,Mumbai,Firmway is a platform that digitizes balance confirmation and reconciliation process.,2016,"Prashant Gupta, Vivek Chandan",
Say Cheese,FemTech,Seed,2021,1000000.0,Mumbai,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",2020,Rajpreet Kaur,
Indic Inspirations,Cultural,Unknown,2021,300000.0,Pune,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",2019,Sunil Jalihal,Marquee investors
Bimaplan,FinTech,Seed,2021,500000.0,Mumbai,Affordable insurance for the next billion Indians,2020,Vikul Goyal,"Titan Capital, Y Combinator"
YAP,FinTech,Series B,2021,10000000.0,Chennai,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,2014,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital"
Leap Finance,FinTech,Series B,2021,17000000.0,Bangalore,Leap Finance is a fintech startup for Indian students pursuing international higher education,2019,Vaibhav Singh,Jungle Ventures
BlackSoil NBFC,FinTech,Unknown,2021,3000000.0,Mumbai,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,2010,Mohinder Pal Bansal,
OYO,Hospitality,Unknown,2021,200000000.0,Gurugram,OYO operates a branded network of hotels designed to offer standardized stay experiences.,2012,Ritesh Agarwal,Hindustan Media Venture
Max Healthcare,HealthCare,Unknown,2021,140000000.0,New Delhi,Max Healthcare is one of the leading chain of hospitals in India.,2000,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare"
4baseCare,HealthTech,Pre-series A,2021,2000000.0,Bangalore,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,2018,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures"
